Subject,Sender,Body,Label
Security update: New features available,alerts@finance-notice.com,Reminder: Your service plan has been renewed successfully.,0
We appreciate your feedback!,alerts@finance-notice.com,Your feedback is important to us. Participate in our survey!,0
Claim your free gift card today!,service@banking-alert.com,Your account has been locked. Click below to restore access.,1
Account security breach detected,lottery@big-win.com,Exclusive offer: Redeem your coupon before it expires!,1
Unusual activity detected on your account,verification@secure-portal.com,Congratulations! You're eligible for a special discount,1
Congratulations! You have won a prize!,support@funds-transfer.com,Your loan application has been pre-approved!,1
Unusual activity detected on your account,info@claim-reward.com,Confirm your email for a security upgrade,1
Confirm your identity to prevent deactivation,accounts@secure-login.com,Congratulations! You're eligible for a special discount,1
Friendly reminder: Upcoming event,contact@amazon.com,Friendly reminder: Your account is in good standing,0
Thank you for your recent purchase,team@corporate-mail.com,Important: Policy changes you should be aware of.,0
Unusual activity detected on your account,accounts@secure-login.com,Your payment has been declined. Confirm your details.,1
Payment failed: Update your billing details,account@amazon-verification.com,Security alert: Your password has been compromised,1
Security update: New features available,notification@banking-updates.com,We've updated our security features. No action is required on your part.,0
Urgent! Verify your account now,urgent@finance-support.com,Your package delivery failed. Confirm your address.,1
Account security breach detected,security@facebook-help.com,Exclusive offer: Redeem your coupon before it expires!,1
Important notice: Update your credentials,service@order-cancellation.com,Exclusive offer: Redeem your coupon before it expires!,1
Invoice for your recent purchase,security@facebook.com,We've updated our security features. No action is required on your part.,0
Important notice: Update your credentials,info@claim-reward.com,Your package delivery failed. Confirm your address.,1
Billing confirmation for your service,newsletter@company.com,We have received your support request,0
We appreciate your feedback!,team@corporate-mail.com,We have received your support request,0
Your monthly bank statement is ready,notification@banking-updates.com,Friendly reminder: Your account is in good standing,0
Billing confirmation for your service,security@facebook.com,Reminder: Your service plan has been renewed successfully.,0
Account activity summary available,team@corporate-mail.com,Enjoy new features in your latest app update,0
Welcome to our service!,contact@amazon.com,Friendly reminder: Your account is in good standing,0
Important security notice for your account,team@corporate-mail.com,Enjoy new features in your latest app update,0
New security alert: Immediate action required,info@claim-reward.com,Congratulations! You're eligible for a special discount,1
Upcoming maintenance alert,support@bank.com,Your monthly statement is attached. Let us know if you have questions.,0
Team meeting scheduled for tomorrow,admin@paypal.com,Your monthly statement is attached. Let us know if you have questions.,0
Billing confirmation for your service,contact@amazon.com,Your monthly statement is attached. Let us know if you have questions.,0
New security alert: Immediate action required,support@secure-b4nk.com,Click the link below to verify your account immediately!,1
Welcome to our service!,security@facebook.com,Your invoice for this month's subscription is available in your dashboard.,0
Meeting rescheduled to next week,updates@official-source.com,Your invoice for this month's subscription is available in your dashboard.,0
Limited-time offer! Claim your bonus now,admin@paypal-security.com,Exclusive offer: Redeem your coupon before it expires!,1
Unusual activity detected on your account,urgent@finance-support.com,Exclusive offer: Redeem your coupon before it expires!,1
Friendly reminder: Upcoming event,newsletter@company.com,Your monthly statement is attached. Let us know if you have questions.,0
We appreciate your feedback!,no-reply@billing.com,Join us for our upcoming webinar. Click here to register.,0
Important notice: Update your credentials,info@claim-reward.com,Get exclusive VIP benefits now!,1
Suspicious login detected on your account,service@order-cancellation.com,Confirm your email for a security upgrade,1
Unauthorized access attempt detected,info@claim-reward.com,You have won a lucky draw! Claim your prize here.,1
Your monthly bank statement is ready,care@verified-service.com,Reminder: Your service plan has been renewed successfully.,0
Important notice: Update your credentials,no-reply@payment-failure.com,Your account will be suspended if no action is taken within 24 hours.,1
Account activity summary available,security@facebook.com,Your subscription has been successfully renewed,0
Your monthly bank statement is ready,updates@official-source.com,Reminder: Your service plan has been renewed successfully.,0
Account activity summary available,updates@official-source.com,Reminder: Your service plan has been renewed successfully.,0
Important notice: Update your credentials,admin@paypal-security.com,Click the link below to verify your account immediately!,1
Congratulations! You have won a prize!,account@amazon-verification.com,Your loan application has been pre-approved!,1
We appreciate your feedback!,no-reply@billing.com,Reminder: Your service plan has been renewed successfully.,0
Your password will expire soon!,account@amazon-verification.com,Confirm your email for a security upgrade,1
Limited-time offer! Claim your bonus now,support@funds-transfer.com,Your payment has been declined. Confirm your details.,1
Your password will expire soon!,help@banking-security.com,We've detected unauthorized access. Reset your password now!,1
Suspicious login detected on your account,lottery@big-win.com,Exclusive offer: Redeem your coupon before it expires!,1
Meeting rescheduled to next week,support@bank.com,Your feedback is important to us. Participate in our survey!,0
Important notice: Update your credentials,security@facebook-help.com,Confirm your email for a security upgrade,1
Friendly reminder: Upcoming event,contact@amazon.com,Join us for our upcoming webinar. Click here to register.,0
Limited-time offer! Claim your bonus now,admin@paypal-security.com,Your account has been locked. Click below to restore access.,1
We appreciate your feedback!,contact@customer-support.com,Friendly reminder: Your account is in good standing,0
Your order has been canceled,accounts@secure-login.com,Security alert: Your password has been compromised,1
Upcoming maintenance alert,team@corporate-mail.com,Your order has been shipped. Track your package here.,0
Unauthorized access attempt detected,support@funds-transfer.com,You have won a lucky draw! Claim your prize here.,1
Your password will expire soon!,security@facebook-help.com,Click the link below to verify your account immediately!,1
New security alert: Immediate action required,support@funds-transfer.com,Security alert: Your password has been compromised,1
Your PayPal account has been suspended,security@facebook-help.com,Update your billing information to avoid service interruption.,1
Meeting rescheduled to next week,no-reply@billing.com,We have received your support request,0
Welcome to our service!,security@facebook.com,Important: Policy changes you should be aware of.,0
Suspicious login detected on your account,alerts@fraud-detection.com,Your package delivery failed. Confirm your address.,1
Suspicious login detected on your account,support@secure-b4nk.com,Get exclusive VIP benefits now!,1
Important notice: Update your credentials,support@funds-transfer.com,Your account will be suspended if no action is taken within 24 hours.,1
Account security breach detected,security@facebook-help.com,Your payment has been declined. Confirm your details.,1
Congratulations! You have won a prize!,accounts@secure-login.com,You have won a lucky draw! Claim your prize here.,1
Your PayPal account has been suspended,alerts@fraud-detection.com,Your account will be suspended if no action is taken within 24 hours.,1
Your password will expire soon!,info@claim-reward.com,We've detected unauthorized access. Reset your password now!,1
New security alert: Immediate action required,alerts@fraud-detection.com,Update your billing information to avoid service interruption.,1
Friendly reminder: Upcoming event,support@bank.com,We've updated our security features. No action is required on your part.,0
Urgent! Verify your account now,account@amazon-verification.com,Your account has been locked. Click below to restore access.,1
Important security notice for your account,support@subscription.com,Your subscription has been successfully renewed,0
Urgent! Verify your account now,account@amazon-verification.com,We've detected unauthorized access. Reset your password now!,1
Your order has been canceled,lottery@big-win.com,Your package delivery failed. Confirm your address.,1
Account activity summary available,no-reply@billing.com,Enjoy new features in your latest app update,0
Thank you for your recent purchase,service@trusted-payment.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
Thank you for your recent purchase,contact@customer-support.com,Important: Policy changes you should be aware of.,0
Important security notice for your account,notification@banking-updates.com,Join us for our upcoming webinar. Click here to register.,0
Important notice: Update your credentials,security@facebook-help.com,Your account has been locked. Click below to restore access.,1
New security alert: Immediate action required,help@banking-security.com,Click the link below to verify your account immediately!,1
Important security notice for your account,care@verified-service.com,We've updated our security features. No action is required on your part.,0
Invoice for your recent purchase,support@subscription.com,Thanks for signing up! Here are some useful resources to get started.,0
Your password will expire soon!,service@banking-alert.com,Click the link below to verify your account immediately!,1
Unusual activity detected on your account,urgent@finance-support.com,Your loan application has been pre-approved!,1
Suspicious login detected on your account,security@facebook-help.com,You have won a lucky draw! Claim your prize here.,1
Friendly reminder: Upcoming event,support@subscription.com,Your invoice for this month's subscription is available in your dashboard.,0
Your order has been canceled,support@secure-b4nk.com,Confirm your email for a security upgrade,1
Suspicious login detected on your account,service@order-cancellation.com,Your account has been locked. Click below to restore access.,1
Suspicious login detected on your account,support@funds-transfer.com,Suspicious login detected: Secure your account now!,1
Upcoming maintenance alert,service@trusted-payment.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
Claim your free gift card today!,support@funds-transfer.com,Confirm your email for a security upgrade,1
Team meeting scheduled for tomorrow,support@subscription.com,Thanks for signing up! Here are some useful resources to get started.,0
Your PayPal account has been suspended,lottery@big-win.com,Suspicious login detected: Secure your account now!,1
Your order has been canceled,urgent@finance-support.com,Your loan application has been pre-approved!,1
Confirm your identity to prevent deactivation,admin@paypal-security.com,Update your billing information to avoid service interruption.,1
Invoice for your recent purchase,service@trusted-payment.com,Join us for our upcoming webinar. Click here to register.,0
Upcoming maintenance alert,info@officialnews.com,Reminder: Your service plan has been renewed successfully.,0
Unauthorized access attempt detected,service@banking-alert.com,Update your billing information to avoid service interruption.,1
Account activity summary available,admin@paypal.com,Your order has been shipped. Track your package here.,0
Urgent! Verify your account now,service@banking-alert.com,Your account will be suspended if no action is taken within 24 hours.,1
Subscription renewal confirmation,alerts@finance-notice.com,Enjoy new features in your latest app update,0
Meeting rescheduled to next week,updates@official-source.com,Your monthly statement is attached. Let us know if you have questions.,0
Friendly reminder: Upcoming event,team@corporate-mail.com,Reminder: Your service plan has been renewed successfully.,0
We appreciate your feedback!,newsletter@company.com,Important: Policy changes you should be aware of.,0
Friendly reminder: Upcoming event,service@trusted-payment.com,Your feedback is important to us. Participate in our survey!,0
Important notice: Update your credentials,support@secure-b4nk.com,Get exclusive VIP benefits now!,1
Suspicious login detected on your account,accounts@secure-login.com,Your account will be suspended if no action is taken within 24 hours.,1
Urgent! Verify your account now,accounts@secure-login.com,Your payment has been declined. Confirm your details.,1
Your monthly bank statement is ready,admin@paypal.com,We have received your support request,0
New security alert: Immediate action required,lottery@big-win.com,Your account will be suspended if no action is taken within 24 hours.,1
Important notice: Update your credentials,service@banking-alert.com,Your package delivery failed. Confirm your address.,1
Invoice for your recent purchase,info@officialnews.com,Important: Policy changes you should be aware of.,0
Account security breach detected,admin@paypal-security.com,Your loan application has been pre-approved!,1
Urgent! Verify your account now,admin@paypal-security.com,Confirm your email for a security upgrade,1
Congratulations! You have won a prize!,alerts@fraud-detection.com,Click the link below to verify your account immediately!,1
Welcome to our service!,alerts@finance-notice.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
New security alert: Immediate action required,support@secure-b4nk.com,You have won a lucky draw! Claim your prize here.,1
Your password will expire soon!,support@funds-transfer.com,Your account will be suspended if no action is taken within 24 hours.,1
Team meeting scheduled for tomorrow,notification@banking-updates.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
Suspicious login detected on your account,admin@paypal-security.com,We've detected unauthorized access. Reset your password now!,1
Important notice: Update your credentials,lottery@big-win.com,Your account will be suspended if no action is taken within 24 hours.,1
Team meeting scheduled for tomorrow,security@facebook.com,Join us for our upcoming webinar. Click here to register.,0
Claim your free gift card today!,no-reply@payment-failure.com,Suspicious login detected: Secure your account now!,1
Security update: New features available,updates@official-source.com,Enjoy new features in your latest app update,0
Payment failed: Update your billing details,alerts@fraud-detection.com,Confirm your email for a security upgrade,1
We appreciate your feedback!,support@subscription.com,Your feedback is important to us. Participate in our survey!,0
Important notice: Update your credentials,help@banking-security.com,Your loan application has been pre-approved!,1
Suspicious login detected on your account,support@funds-transfer.com,You have won a lucky draw! Claim your prize here.,1
Account activity summary available,updates@official-source.com,Your order has been shipped. Track your package here.,0
Security update: New features available,security@facebook.com,Automatic bill payment confirmation,0
Payment failed: Update your billing details,info@claim-reward.com,Congratulations! You're eligible for a special discount,1
Billing confirmation for your service,care@verified-service.com,Thanks for signing up! Here are some useful resources to get started.,0
Congratulations! You have won a prize!,info@claim-reward.com,Get exclusive VIP benefits now!,1
Unauthorized access attempt detected,account@amazon-verification.com,Your payment has been declined. Confirm your details.,1
Your monthly bank statement is ready,support@subscription.com,We've updated our security features. No action is required on your part.,0
Congratulations! You have won a prize!,no-reply@payment-failure.com,Your package delivery failed. Confirm your address.,1
Upcoming maintenance alert,admin@paypal.com,Important: Policy changes you should be aware of.,0
Your PayPal account has been suspended,support@secure-b4nk.com,Your package delivery failed. Confirm your address.,1
Unauthorized access attempt detected,accounts@secure-login.com,Suspicious login detected: Secure your account now!,1
Welcome to our service!,no-reply@billing.com,Enjoy new features in your latest app update,0
Claim your free gift card today!,service@order-cancellation.com,Update your billing information to avoid service interruption.,1
Your PayPal account has been suspended,support@funds-transfer.com,Exclusive offer: Redeem your coupon before it expires!,1
We appreciate your feedback!,info@officialnews.com,Friendly reminder: Your account is in good standing,0
Limited-time offer! Claim your bonus now,security@facebook-help.com,Suspicious login detected: Secure your account now!,1
Meeting rescheduled to next week,contact@amazon.com,Your subscription has been successfully renewed,0
Claim your free gift card today!,accounts@secure-login.com,Your package delivery failed. Confirm your address.,1
Important security notice for your account,updates@official-source.com,Your monthly statement is attached. Let us know if you have questions.,0
Your order has been canceled,admin@paypal-security.com,Security alert: Your password has been compromised,1
Security update: New features available,team@corporate-mail.com,Automatic bill payment confirmation,0
Your monthly bank statement is ready,contact@amazon.com,Automatic bill payment confirmation,0
Your PayPal account has been suspended,help@banking-security.com,Get exclusive VIP benefits now!,1
Your PayPal account has been suspended,accounts@secure-login.com,Get exclusive VIP benefits now!,1
Suspicious login detected on your account,alerts@fraud-detection.com,Your account has been locked. Click below to restore access.,1
Invoice for your recent purchase,support@bank.com,We have received your support request,0
Your order has been canceled,admin@paypal-security.com,Congratulations! You're eligible for a special discount,1
Account activity summary available,updates@official-source.com,Enjoy new features in your latest app update,0
Important security notice for your account,updates@official-source.com,Reminder: Your service plan has been renewed successfully.,0
Your PayPal account has been suspended,lottery@big-win.com,You have won a lucky draw! Claim your prize here.,1
Account security breach detected,support@secure-b4nk.com,We've detected unauthorized access. Reset your password now!,1
Urgent! Verify your account now,account@amazon-verification.com,Your loan application has been pre-approved!,1
Security update: New features available,support@subscription.com,Thanks for signing up! Here are some useful resources to get started.,0
Upcoming maintenance alert,support@subscription.com,Important: Policy changes you should be aware of.,0
Payment failed: Update your billing details,accounts@secure-login.com,Update your billing information to avoid service interruption.,1
Suspicious login detected on your account,urgent@finance-support.com,Your package delivery failed. Confirm your address.,1
Your monthly bank statement is ready,team@corporate-mail.com,Reminder: Your service plan has been renewed successfully.,0
Unauthorized access attempt detected,no-reply@payment-failure.com,Congratulations! You're eligible for a special discount,1
Your order has been canceled,info@claim-reward.com,Your account has been locked. Click below to restore access.,1
Security update: New features available,team@corporate-mail.com,Your monthly statement is attached. Let us know if you have questions.,0
Account security breach detected,help@banking-security.com,Your payment has been declined. Confirm your details.,1
Unauthorized access attempt detected,urgent@finance-support.com,Congratulations! You're eligible for a special discount,1
Welcome to our service!,no-reply@billing.com,Your feedback is important to us. Participate in our survey!,0
Upcoming maintenance alert,notification@banking-updates.com,Important: Policy changes you should be aware of.,0
Security update: New features available,newsletter@company.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
Welcome to our service!,alerts@finance-notice.com,Reminder: Your service plan has been renewed successfully.,0
Payment failed: Update your billing details,alerts@fraud-detection.com,Update your billing information to avoid service interruption.,1
Upcoming maintenance alert,notification@banking-updates.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
Thank you for your recent purchase,updates@official-source.com,We have received your support request,0
Congratulations! You have won a prize!,service@order-cancellation.com,Your loan application has been pre-approved!,1
Urgent! Verify your account now,service@order-cancellation.com,Your account has been locked. Click below to restore access.,1
Upcoming maintenance alert,alerts@finance-notice.com,Important: Policy changes you should be aware of.,0
Urgent! Verify your account now,service@banking-alert.com,Confirm your email for a security upgrade,1
Account security breach detected,lottery@big-win.com,Confirm your email for a security upgrade,1
Thank you for your recent purchase,alerts@finance-notice.com,Reminder: Your service plan has been renewed successfully.,0
Welcome to our service!,care@verified-service.com,Your invoice for this month's subscription is available in your dashboard.,0
Congratulations! You have won a prize!,support@funds-transfer.com,Your package delivery failed. Confirm your address.,1
Account activity summary available,care@verified-service.com,Automatic bill payment confirmation,0
We appreciate your feedback!,notification@banking-updates.com,Important: Policy changes you should be aware of.,0
Important notice: Update your credentials,service@banking-alert.com,You have won a lucky draw! Claim your prize here.,1
Unauthorized access attempt detected,info@claim-reward.com,Your payment has been declined. Confirm your details.,1
Security update: New features available,newsletter@company.com,Your order has been shipped. Track your package here.,0
Your monthly bank statement is ready,service@trusted-payment.com,Enjoy new features in your latest app update,0
Unusual activity detected on your account,admin@paypal-security.com,Congratulations! You're eligible for a special discount,1
Invoice for your recent purchase,updates@official-source.com,We have received your support request,0
Team meeting scheduled for tomorrow,contact@amazon.com,Important: Policy changes you should be aware of.,0
Urgent! Verify your account now,lottery@big-win.com,Confirm your email for a security upgrade,1
Your order has been canceled,no-reply@payment-failure.com,Congratulations! You're eligible for a special discount,1
Confirm your identity to prevent deactivation,support@secure-b4nk.com,Your account has been locked. Click below to restore access.,1
Upcoming maintenance alert,no-reply@billing.com,Your monthly statement is attached. Let us know if you have questions.,0
Confirm your identity to prevent deactivation,alerts@fraud-detection.com,Security alert: Your password has been compromised,1
Urgent! Verify your account now,accounts@secure-login.com,Exclusive offer: Redeem your coupon before it expires!,1
Welcome to our service!,updates@official-source.com,We've updated our security features. No action is required on your part.,0
Upcoming maintenance alert,support@subscription.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
Thank you for your recent purchase,contact@amazon.com,Automatic bill payment confirmation,0
Urgent! Verify your account now,help@banking-security.com,Get exclusive VIP benefits now!,1
Payment failed: Update your billing details,verification@secure-portal.com,Your package delivery failed. Confirm your address.,1
Friendly reminder: Upcoming event,newsletter@company.com,Automatic bill payment confirmation,0
Subscription renewal confirmation,contact@customer-support.com,Enjoy new features in your latest app update,0
Billing confirmation for your service,team@corporate-mail.com,Friendly reminder: Your account is in good standing,0
Payment failed: Update your billing details,no-reply@payment-failure.com,Suspicious login detected: Secure your account now!,1
Upcoming maintenance alert,updates@official-source.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
Your delivery is scheduled,info@officialnews.com,Friendly reminder: Your account is in good standing,0
Suspicious login detected on your account,service@order-cancellation.com,Get exclusive VIP benefits now!,1
Account activity summary available,support@bank.com,Your subscription has been successfully renewed,0
Important security notice for your account,service@trusted-payment.com,Your subscription has been successfully renewed,0
Thank you for your recent purchase,admin@paypal.com,Your subscription has been successfully renewed,0
Claim your free gift card today!,verification@secure-portal.com,Exclusive offer: Redeem your coupon before it expires!,1
Unusual activity detected on your account,alerts@fraud-detection.com,Your account will be suspended if no action is taken within 24 hours.,1
Unauthorized access attempt detected,service@banking-alert.com,We've detected unauthorized access. Reset your password now!,1
Team meeting scheduled for tomorrow,admin@paypal.com,Join us for our upcoming webinar. Click here to register.,0
New security alert: Immediate action required,info@claim-reward.com,Your package delivery failed. Confirm your address.,1
Your order has been canceled,support@secure-b4nk.com,Your account will be suspended if no action is taken within 24 hours.,1
Your order has been canceled,service@banking-alert.com,Security alert: Your password has been compromised,1
Your PayPal account has been suspended,account@amazon-verification.com,Confirm your email for a security upgrade,1
Your order has been canceled,support@funds-transfer.com,Click the link below to verify your account immediately!,1
Account security breach detected,accounts@secure-login.com,Click the link below to verify your account immediately!,1
New security alert: Immediate action required,urgent@finance-support.com,Confirm your email for a security upgrade,1
Important notice: Update your credentials,admin@paypal-security.com,Security alert: Your password has been compromised,1
Important notice: Update your credentials,urgent@finance-support.com,Your payment has been declined. Confirm your details.,1
Security update: New features available,contact@customer-support.com,Your subscription has been successfully renewed,0
New security alert: Immediate action required,support@secure-b4nk.com,Get exclusive VIP benefits now!,1
Your monthly bank statement is ready,updates@official-source.com,Your invoice for this month's subscription is available in your dashboard.,0
Limited-time offer! Claim your bonus now,account@amazon-verification.com,Your payment has been declined. Confirm your details.,1
Important security notice for your account,info@officialnews.com,Your subscription has been successfully renewed,0
Your PayPal account has been suspended,service@banking-alert.com,Your loan application has been pre-approved!,1
Your PayPal account has been suspended,security@facebook-help.com,Your payment has been declined. Confirm your details.,1
Important notice: Update your credentials,no-reply@payment-failure.com,Your package delivery failed. Confirm your address.,1
Confirm your identity to prevent deactivation,accounts@secure-login.com,We've detected unauthorized access. Reset your password now!,1
Your monthly bank statement is ready,notification@banking-updates.com,Join us for our upcoming webinar. Click here to register.,0
Unauthorized access attempt detected,accounts@secure-login.com,You have won a lucky draw! Claim your prize here.,1
Payment failed: Update your billing details,help@banking-security.com,We've detected unauthorized access. Reset your password now!,1
Confirm your identity to prevent deactivation,support@secure-b4nk.com,Your account will be suspended if no action is taken within 24 hours.,1
Suspicious login detected on your account,account@amazon-verification.com,Your payment has been declined. Confirm your details.,1
Billing confirmation for your service,security@facebook.com,We have received your support request,0
Claim your free gift card today!,no-reply@payment-failure.com,You have won a lucky draw! Claim your prize here.,1
Account activity summary available,updates@official-source.com,Your monthly statement is attached. Let us know if you have questions.,0
Your PayPal account has been suspended,urgent@finance-support.com,Congratulations! You're eligible for a special discount,1
Your password will expire soon!,info@claim-reward.com,Your loan application has been pre-approved!,1
Unauthorized access attempt detected,verification@secure-portal.com,Get exclusive VIP benefits now!,1
Account activity summary available,admin@paypal.com,Thanks for signing up! Here are some useful resources to get started.,0
Important notice: Update your credentials,security@facebook-help.com,Update your billing information to avoid service interruption.,1
Your monthly bank statement is ready,service@trusted-payment.com,Important: Policy changes you should be aware of.,0
Confirm your identity to prevent deactivation,accounts@secure-login.com,Click the link below to verify your account immediately!,1
Welcome to our service!,support@subscription.com,Friendly reminder: Your account is in good standing,0
Subscription renewal confirmation,admin@paypal.com,Your order has been shipped. Track your package here.,0
Unauthorized access attempt detected,accounts@secure-login.com,Your payment has been declined. Confirm your details.,1
Billing confirmation for your service,contact@customer-support.com,Join us for our upcoming webinar. Click here to register.,0
Congratulations! You have won a prize!,admin@paypal-security.com,Security alert: Your password has been compromised,1
Thank you for your recent purchase,notification@banking-updates.com,Reminder: Your service plan has been renewed successfully.,0
Your password will expire soon!,security@facebook-help.com,Your package delivery failed. Confirm your address.,1
Subscription renewal confirmation,service@trusted-payment.com,Reminder: Your service plan has been renewed successfully.,0
Congratulations! You have won a prize!,alerts@fraud-detection.com,Security alert: Your password has been compromised,1
Your delivery is scheduled,updates@official-source.com,Your order has been shipped. Track your package here.,0
Important notice: Update your credentials,account@amazon-verification.com,You have won a lucky draw! Claim your prize here.,1
Your delivery is scheduled,service@trusted-payment.com,Your invoice for this month's subscription is available in your dashboard.,0
Congratulations! You have won a prize!,admin@paypal-security.com,Click the link below to verify your account immediately!,1
Claim your free gift card today!,alerts@fraud-detection.com,Your payment has been declined. Confirm your details.,1
Payment failed: Update your billing details,urgent@finance-support.com,Your payment has been declined. Confirm your details.,1
We appreciate your feedback!,updates@official-source.com,Join us for our upcoming webinar. Click here to register.,0
Team meeting scheduled for tomorrow,updates@official-source.com,Important: Policy changes you should be aware of.,0
Important notice: Update your credentials,service@banking-alert.com,Exclusive offer: Redeem your coupon before it expires!,1
Limited-time offer! Claim your bonus now,admin@paypal-security.com,Congratulations! You're eligible for a special discount,1
Subscription renewal confirmation,security@facebook.com,Reminder: Your service plan has been renewed successfully.,0
Welcome to our service!,support@bank.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
Thank you for your recent purchase,support@bank.com,Your subscription has been successfully renewed,0
New security alert: Immediate action required,help@banking-security.com,Security alert: Your password has been compromised,1
Limited-time offer! Claim your bonus now,account@amazon-verification.com,You have won a lucky draw! Claim your prize here.,1
Unusual activity detected on your account,urgent@finance-support.com,Update your billing information to avoid service interruption.,1
Thank you for your recent purchase,care@verified-service.com,Your monthly statement is attached. Let us know if you have questions.,0
Claim your free gift card today!,lottery@big-win.com,Your loan application has been pre-approved!,1
Subscription renewal confirmation,care@verified-service.com,Your feedback is important to us. Participate in our survey!,0
Thank you for your recent purchase,support@subscription.com,We have received your support request,0
Upcoming maintenance alert,team@corporate-mail.com,Join us for our upcoming webinar. Click here to register.,0
Unusual activity detected on your account,service@banking-alert.com,Exclusive offer: Redeem your coupon before it expires!,1
Your order has been canceled,accounts@secure-login.com,Congratulations! You're eligible for a special discount,1
Team meeting scheduled for tomorrow,newsletter@company.com,Important: Policy changes you should be aware of.,0
Payment failed: Update your billing details,service@banking-alert.com,Congratulations! You're eligible for a special discount,1
We appreciate your feedback!,support@subscription.com,Enjoy new features in your latest app update,0
Thank you for your recent purchase,support@bank.com,Join us for our upcoming webinar. Click here to register.,0
Important security notice for your account,no-reply@billing.com,Automatic bill payment confirmation,0
Your PayPal account has been suspended,verification@secure-portal.com,Click the link below to verify your account immediately!,1
Billing confirmation for your service,info@officialnews.com,We've updated our security features. No action is required on your part.,0
Limited-time offer! Claim your bonus now,service@banking-alert.com,Your account has been locked. Click below to restore access.,1
Your password will expire soon!,account@amazon-verification.com,Get exclusive VIP benefits now!,1
Welcome to our service!,no-reply@billing.com,Your monthly statement is attached. Let us know if you have questions.,0
Friendly reminder: Upcoming event,service@trusted-payment.com,Your invoice for this month's subscription is available in your dashboard.,0
Unusual activity detected on your account,alerts@fraud-detection.com,Get exclusive VIP benefits now!,1
Confirm your identity to prevent deactivation,urgent@finance-support.com,Your loan application has been pre-approved!,1
Thank you for your recent purchase,care@verified-service.com,Friendly reminder: Your account is in good standing,0
Suspicious login detected on your account,alerts@fraud-detection.com,Get exclusive VIP benefits now!,1
Your delivery is scheduled,admin@paypal.com,Friendly reminder: Your account is in good standing,0
Important security notice for your account,updates@official-source.com,Join us for our upcoming webinar. Click here to register.,0
Your password will expire soon!,info@claim-reward.com,Exclusive offer: Redeem your coupon before it expires!,1
Important security notice for your account,support@bank.com,Thanks for signing up! Here are some useful resources to get started.,0
Friendly reminder: Upcoming event,support@bank.com,Reminder: Your service plan has been renewed successfully.,0
We appreciate your feedback!,contact@amazon.com,Automatic bill payment confirmation,0
Urgent! Verify your account now,service@order-cancellation.com,Security alert: Your password has been compromised,1
Account activity summary available,service@trusted-payment.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
New security alert: Immediate action required,service@banking-alert.com,Update your billing information to avoid service interruption.,1
Account activity summary available,admin@paypal.com,Your invoice for this month's subscription is available in your dashboard.,0
Team meeting scheduled for tomorrow,info@officialnews.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
Meeting rescheduled to next week,updates@official-source.com,Meeting is rescheduled to next Tuesday. Please confirm your availability.,0
Meeting rescheduled to next week,service@trusted-payment.com,Important: Policy changes you should be aware of.,0
Unusual activity detected on your account,account@amazon-verification.com,Exclusive offer: Redeem your coupon before it expires!,1
Invoice for your recent purchase,team@corporate-mail.com,Your monthly statement is attached. Let us know if you have questions.,0
Team meeting scheduled for tomorrow,team@corporate-mail.com,Thanks for signing up! Here are some useful resources to get started.,0
Your order has been canceled,no-reply@payment-failure.com,Your account will be suspended if no action is taken within 24 hours.,1
Limited-time offer! Claim your bonus now,no-reply@payment-failure.com,Your loan application has been pre-approved!,1
Payment failed: Update your billing details,security@facebook-help.com,Congratulations! You're eligible for a special discount,1
Your order has been canceled,account@amazon-verification.com,Your account will be suspended if no action is taken within 24 hours.,1
Unauthorized access attempt detected,urgent@finance-support.com,You have won a lucky draw! Claim your prize here.,1
Unusual activity detected on your account,verification@secure-portal.com,Security alert: Your password has been compromised,1
Your PayPal account has been suspended,support@secure-b4nk.com,Your payment has been declined. Confirm your details.,1
Unusual activity detected on your account,help@banking-security.com,Your loan application has been pre-approved!,1
Urgent! Verify your account now,help@banking-security.com,Your package delivery failed. Confirm your address.,1
Suspicious login detected on your account,admin@paypal-security.com,Suspicious login detected: Secure your account now!,1
Unauthorized access attempt detected,support@funds-transfer.com,Suspicious login detected: Secure your account now!,1
Urgent! Verify your account now,lottery@big-win.com,Update your billing information to avoid service interruption.,1
Congratulations! You have won a prize!,verification@secure-portal.com,Exclusive offer: Redeem your coupon before it expires!,1
Your PayPal account has been suspended,accounts@secure-login.com,Your account will be suspended if no action is taken within 24 hours.,1
Confirm your identity to prevent deactivation,verification@secure-portal.com,Security alert: Your password has been compromised,1
Thank you for your recent purchase,admin@paypal.com,Friendly reminder: Your account is in good standing,0
Unauthorized access attempt detected,alerts@fraud-detection.com,Get exclusive VIP benefits now!,1
Your order has been canceled,accounts@secure-login.com,Your loan application has been pre-approved!,1
